Publisher,Journal title,Article title,Cost
American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,The HsiB1C1 (TssB/TssC) complex of the Pseudomonas aeruginosa type VI secretion system forms a bacteriophage tail sheath-like structure ,"£1 261,44"
American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Transcription Factor Positive Regulatory Domain 4 (PRDM4) recruits Protein Arginine Methyltransferase 5 (PRMT5) to mediate histone arginine methylation and control neural stem cell proliferation and differentiation,"£1 276,08"
American Society for Biochemistry and Molecular Biology,JOURNAL OF BIOLOGICAL CHEMISTRY,"P2X receptor chimeras highlight roles of the amino terminus to partial agonist efficacy, the carboxyl terminus to recovery from desensitization, and independent regulation of channel transitions","£1 540,00"
American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,Caspase inhibitors protect neurons by enabling selective necroptosis of inflamed microglia,"£1 586,36"
American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,"Estrogen receptor á mediates proliferation of osteoblastic cells stimulated by estrogen and mechanical strain, but their acute down regulation of the Wnt antagonist Sost is mediated by Estrogen Receptor â","£1 664,94"
American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,ZINC-INDUCED SELF-ASSOCIATION OF COMPLEMENT C3b AND FACTOR H: IMPLICATIONS FOR INFLAMMATION AND AGE-RELATED MACULAR DEGENERATION,"£1 743,84"
American Society for Biochemistry and Molecular Biology,Journal of Biological Chemistry,ca2+ signalling through catsper and ca2+ stores regulate different behaviours in human sperm,"£2 501,07"
ASBMB,Journal of Biological Chemistry,"Characterisation of GAS2-like 3, a new microtubule and actin-binding protein related to spectraplakins","£917,50"
ASBMB,Journal of biological chemistry,"Direct and indirect control of MAPK pathway associated components, BRAP/IMP and CRAF, by
the deubiquitylating enzyme USP15*","£929,31"
ASBMB,Journal of Biological Chemistry,Glycoprotein biosynthesis in a eukaryote lacking the membrane protein rft1,"£992,01"
ASBMB,Journal of Biological Chemistry,Contrasting Effects of a-synuclein and y-synuclein on the Phenotype of Cysteine String Protein alpha (CSPa) Null Mutant Mice Suggest Distinct Function of these Proteins in Neuronal Synapses,"£1 134,50"
ASBMB,Journal of Biological Chemistry,"Novel keto-phospholipids are generated by monocytes and macrophages. Detected in Cystic Fibrosis, and activate peroxisome proliferator-activated receptor-? (Manuscript #M405409)","£1 150,60"
ASBMB,Journal of Biological Chemistry,Immobilization of Heparan Sulfate on Electrospun Meshes to Support Embryonic Stem Cell Culture and Differentiation,"£1 225,26"
ASBMB,Journal of Biological Chemistry,Deubiquitinases regulate the activity of caspase-1 and IL-1β secretion via assembly of the inflammasome,"£1 246,42"
ASBMB,Journal of Biological Chemistry,Mechanisms of activity-dependent plasticity in cellular nitric oxide-cGMP signaling,"£1 246,76"
ASBMB,Journal of Biological Chemistry,Matrilin-1 A-domains: structural and functional investigations reveal insights into their role in cartilage ecm assembly,"£1 260,90"
ASBMB,Journal of Biological Chemistry,Methionine Oxidation of Sup35 Protein Induces Formation of the [PSI+] Prion in a Yeast Peroxiredoxin Mutant,"£1 276,08"
ASBMB,Journal of Biological Chemistry,The T cell receptor triggering apparatus is composed of monovalent or monomeric proteins.,"£1 286,86"
ASBMB,Journal of Biological Chemistry,Comparative Proteomic Analysis of Supportive and Unsupportive Extracellular Matrix Substrates for Human Embryonic Stem Cell Maintenance.,"£1 287,75"
ASBMB,Journal of Biological Chemistry,Picomolar nitric oxide signals from central neurons recorded using ultrasensitive detector cells,"£1 302,76"
ASBMB,JOURNAL OF BIOLOGICAL CHEMISTRY,STRUCTURAL ANALYSIS OF COLLAGEN TYPE I INTERACTIONS WITH HUMAN FIBRONECTIN REVEALS A COOPERATIVE BONDING MODE,"£1 314,53"
ASBMB,Journal of Biological Chemistry,Opticin Exerts Its Anti-Angiogenic Activity by Regulating Extracellular Matrix Adhesiveness,"£1 343,39"
ASBMB,Journal of biological chemistry,Solution NMR Structure of the Ca2+- Bound N-Terminal Domain of Calcium Binding Protein 7 (CaBP7): A regulator of Golgi trafficking,"£1 443,99"
ASBMB,Journal of Biological Chemistry,Expanding the repertoire of amyloiod polymorphs by co-polymerization of related protein precursors,"£1 545,10"
ASBMB,Journal of Biological Chemistry,The Sec7 Guanine Nucleotide Exchange Factor GBF1 Regulates Membrane Recruitment of BIG1 and BIG2 Guanine Nucleotide Exchange Factors to the Trans-Golgi Network (TGN).,"£1 552,26"
ASBMB,Journal of Biological Chemistry,Preferential Targeting of a Signal Recognition Particle-dependent Precursor ,"£1 556,61"
ASBMB,Journal of Biological Chemistry,SSS1p is required to complete protein translocon activation,"£1 556,61"
ASBMB,JOURNAL OF BIOLOGICAL CHEMISTRY,Talin 1 has unique expression versus Talin 2 in the heart and modifies the hypertrophic response to pressure overload,"£1 572,24"
ASBMB,Journal of Biological Chemistry,Functional properties of five Dictyostelium discoideum P2X receptors,"£1 580,47"
ASBMB,Journal of Biological Chemistry,Cross-species Analysis Reveals Evolving And Conserved Features of the Nuclear Factor kB (NF-kB) Proteins.,"£1 600,25"
ASBMB,Journal of Biological Chemistry,Highly divergent T cell receptor binding models underlie specific recognition of a bulged viral peptide bound to HLA,"£1 609,66"
ASBMB,Journal of Biological Chemistry,Biophysical analysis of Kindlin-3 reveals an elongated conformation and maps integrin binding to the membrane-distal ?-subunit NPXY motif.,"£1 610,31"
ASBMB,Journal of Biological Chemistry,Differential Virulence of Candida glabrata Glycosylation Mutants,"£1 621,62"
ASBMB,Journal of Biological Chemistry,Nucleotide Binding by Lhs1p Is Essential for Its Nucleotide Exchange Activity and for Function in Vivo,"£1 707,08"
ASBMB,Journal of Biological Chemistry,Hypoxia-inducible factor-1a (HIF1a) switches on transient receptor potential ankryn repeat 1 (TRPA1) gene expression via a hypoxia response element-like motif to modulate cytokine release,"£1 763,21"
ASBMB,Journal of Biological Chemistry,Interactions between Kar2p and its nucleotide exchange factors Sil1p and Lhs1p are mechanistically distinct,"£2 003,13"
ASBMB,Journal of Biological Chemistry,Specific β-containing integrins exert differential control on proliferation and 2D collective cell migration in mammary epithelial cells,"£2 032,22"
ASBMB,Journal of Biological Chemistry,Hepatitis C virus NS5 inhibits mixed lineage kinase 3 to block apoptosis,"£2 311,57"
ASBMB,Journal of Biological Chemistry,Cell Cycle-dependent Regulation of the Forkhead Transcription Factor FOXK2 by CDK·Cyclin Complexes,"£2 344,79"
ASBMB/Cenveo Publisher Services,Journal of Biological Chemistry,Fused in Sarcoma (FUS) Protein Lacking Nuclear Localization Signal (NLS) and Major RNA Binding Motifs Triggers Proteinopathy,"£1 188,39"
CADMUS JOURNAL SERVICE ,Journal of Biological Chemistry,Critical role for an acidic amino acid region in platelet signalling by the hemITAM (hemi-Immunoreceptor Tyrosine-based Activation Motif) containing receptor CLEC-2 (C-type Lectin receptor-2),"£1 804,00"
Springer,Journal of Biological Physics,Packaging signals in single-stranded RNA viruses: Nature's alternative to a purely electrostatic assembly mechanism,"£2 226,16"
Sciedu Press,Journal of Biomedical Graphics and Computing,Functional MRI demonstrates pain perception in hand osteoarthritis has features of central pain processing,"£135,29"
Wiley,Journal of Bone and Mineral Research,Regulation of human bone marrow stromal cell proliferation and differentiation,"£755,45"
Wiley Subscription Services,Journal of Cell Physiology,The dynamics of PKC-induced phosphorylation triggered by Ca2+ oscillations in mouse eggs,"£2 380,96"
Company of Biologist,Journal of Cell Science,A new kind of membrane-tethered eukaryotic transcription factor that shares an auto-proteolytic processing mechanism with bacteriophage tail-spike proteins,"£2 400,00"
Company of Biologists,Journal of Cell Science,PKA isoforms coordinate mRNA fate during nutrient starvation ,"£1 620,00"
Company of Biologists,Journal of Cell Science,Positional editing of transmembrane domains during ion channel assembly,"£1 620,00"
Company of Biologists,Journal of Cell Science,Get3 is a holdase chaperone and moves to deposition sites for aggregated proteins when membrane targeting is blocked,"£1 620,00"
Company of Biologists,Journal of Cell Science,The antagonistic modulation of Arp2/3 activity by N-WASP/WAVE2 and PICK1 defines dynamic changes in astrocyte morphology,"£2 400,00"
Company of Biologists,Journal of Cell Science,Expression of OA1 limits the fusion of a subset of MVBs with lysosomes; a mechanism likely involved in the initial biogenesis of melanosomes,"£2 400,00"
Company of Biologists Ltd,Journal of Cell Science,Cell wall stress induces alternative fungal cytokinesis and septation strategies,"£2 000,00"
The Company of Biologists,Journal of Cell Science,A short bifunctional element operates to positively or negatively regulate ESAG9 expression in different developmental forms of Trypanosoma brucei,"£2 400,00"
Wiley,Journal of Cellular Biochemistry,"The U5 snRNA internal loop 1 is a platform for Brr2, Snu114 and Prp8 protein binding during U5 snRNP assembly","£1 971,87"
Nature,Journal of Cerebral Blood Flow and Metabolism,The effects of focal epileptic activity on regional sensory-evoked neurovascular coupling and post-ictal modulation of bilateral sensory processing,"£1 920,00"
Nature,Journal of cerebral blood flow and metabolism,Is myelin a mitochondrion?,"£2 040,00"
ACS (Amercian Chemical Society) Publications,Journal of Chemical Information and Modeling,Locating Sweet Spots for Screening Hits and Evaluating Pan-Assay Interference Filters from the Performance Analysis of Two Lead-like Libraries,"£1 329,69"
BioMed Central,Journal of Cheminformatics,USRCAT: Ultrafast Shape Recognition with pharmacophoric constraints,"£882,12"
Wiley,Journal of Child Psychology and Psychiatry,Parental depressive and anxiety symptoms during pregnancy and attention problems in children. A cross-cohort consistency study,"£2 222,22"
Wiley-Blackwell,Journal of Child Psychology and Psychiatry,Research Review: Emanuel Miller Memorial Lecture 2012 - Neuroscientific studies of intervention for language impairment in children: interpretive and methodological problems,"£1 872,14"
Wiley-Blackwell,Journal of Child Psychology and Psychiatry,Brain structure abnormalities in adolescent girls with Conduct Disorder,"£2 232,00"
THE ENDOCRINE SOCIETY,Journal of Clinical Endocrinology,Structural pituitary abnormalities associated with CHARGE syndrome,"£1 970,57"
Cenveo Publisher services,Journal of Clinical Endocrinology and Metabolism,Analysis of Body Composition in Individuals With High Bone Mass Reveals a Marked Increase in Fat Mass in Women But Not Men,"£2 310,83"
Endocrine Society,Journal of Clinical Endocrinology and Metabolism,"Variations in PROKR2, but not PROK2, are associated with hypopituitarism and septo-optic dysplasia","£1 995,43"
Endocrine Society,Journal of Clinical Endocrinology and Metabolism,A Cross-Sectional Study of the Relationship between Cortical Bone and High-Impact Activity in Young Adult Males and Females,"£2 224,52"
Endocrine Society,Journal of Clinical Endocrinology and Metabolism,Distinct relationships of intramuscular and subcutaneous fat with cortical bone: findings from a cross-sectional study of young adult males and females,"£2 355,52"
The Endocrine Society,Journal of Clinical Endocrinology and Metabolism,Genotype and phenotype correlation,"£1 909,00"
The Endocrine Society,Journal of Clinical Endocrinology and Metabolism,Metformin inhibits FSH action in human granulosa cells: relevance to polycystic ovary syndrome,"£1 969,56"
The Endocrine Society,Journal of Clinical Endocrinology and Metabolism,How changes in affinity of corticosteroid-binding globulin modulate free cortisol concentration,"£2 320,00"
The Endocrine Society,Journal of Clinical Endocrinology and Metabolism,Prenatal diagnosis of congenital adrenal hyperplasia caused by p450,"£2 347,87"
Elsevier,Journal of Clinical Epidemiology,Systematic Reveiw of the Hawthorn effect: New concepts are  ....,"£1 955,21"
Cadmus Journal Services,Journal of Clinical Microbiology,Development and evaluation of a next-generation digital PCR diagnostic assay for ocular chlamydia trachomatis infections.,"£1 289,32"
American Society for Microbiology ,Journal of Clinical Microbiology ,Molecular Analysis of an Outbreak of Lethal Postpartum Sepsis Caused by Streptococcus pyogenes [Lethal Streptococcus pyogenes post-partum sepsis: Molecular analysis of an outbreak],"£1 503,47"
BMJ,Journal of Clinical Pathology,"Development of a robust protocol for gene expression analysis using formalin-fixed, paraffin-embedded liver transplant biopsy specimens","£2 340,00"
Elsevier,Journal of Clinical Virology,Ecological and taxonomic variations among human RNA viruses,"£2 486,13"
MIT Press,Journal of Cognitive Neuroscience,"Executive-semantic processing is underpinned by a large-scale network: Revealing the contribution of left prefrontal, posterior temporal and parietal cortex to controlled retrieval and selection using TMS","£808,85"
Wiley-Blackwell,Journal of Comparative Neurology,Axon diversity of lamina I local-circuit neurons in the lumbar spinal cord,"£1 909,73"
Springer,Journal of Computational Neuroscience,The spatial pattern of light determines the kinetics and modulates backpropagation of optogenetic action potentials,"£2 241,43"
American Psychological Association,Journal of Consulting and Clinical Psychology,"A randomized clinical trial of mindfulness-based cognitive therapy versus unrestricted services for health anxiety (hypochondriasis).
","£3 037,86"
Taylor & Francis,Journal of Cultural Economy,Transport to where? Reflections on the problem of value and time .,"£2 145,60"
Elsevier,Journal of cycstic fibrosis,Extensive diversification is a common feature of Pseudomonas aeruginosa populations during respiratory infections in cystic fibrosis,"£2 396,85"
John Wiley & Sons,Journal of Depression & Anxiety,Clinical Predictors of Familial Depression in Han Chinese Women,"£2 321,38"
John Wiley & Sons,Journal of Depression & Anxiety,A Comparison of Melancholic and Non-Melancholic Recurrent Major Depression in Han Chinese Women,"£2 321,38"
BioScientifica,Journal of Endocrinology,Stress-dependent and gender-specific neuroregulatory roles of the apelin receptor in the hypothalamic-pituitary-adrenal axis response to acute stress,"£1 200,00"
BMJ Group,Journal of Epidemiology & Community Health,"Trajectories of Socioeconomic Inequalities in health, behaviours and academic achievement across childhood and adolescence","£2 040,00"
BMJ,Journal of Epidemiology & Community Health ,"Socioeconomic inequalities in all-cause mortality in the Czech Republic, Russia, Poland and Lithuania in the 2000s: findings from the HAPIEE study","£1 989,00"
BMJ Publishing Group,Journal of Epidemiology and Community Health,Economic determinants of diet in older adults: systematic review,"£1 755,00"
Wiley-Blackwell,Journal of Evaluation in Clinical Practice,Evaluating care pathways for community psychiatry in England: a qualitative study,"£2 275,02"
Wiley-Blackwell,Journal of Evaluation in Clinical Practice,Mental Disorders are not Brain Disorders,"£2 328,04"
Wiley,Journal of Evolutionary Biology,Fecundity compensation and tolerance to a sterilizing pathogen in Daphnia.,"£2 365,54"
Taylor and Francis ,Journal of Experimental Nanoscience,Application of Nanotechnology to Control Bacterial Adhesion and Patterning on Material Surfaces,"£2 474,16"
American Psychological Association,Journal of Experimental Psychology:  Animal Behaviour Process,Asymmetry in the Discrimination of Length During Spatial Learning,"£3 144,24"
American Psychological Association,Journal of Experimental Psychology: Human Perception and Performance,Collective enumeration,"£2 659,32"
American Psychological Association ,Journal of Experimental Psychology: Human Perception and Performance,Dissociable Roles of Different Types of Working Memory Load in Visual Detection,"£2 561,40"
American Psychological Association,Journal of Family Psychology,The nature of nuture:  Disentangling passive geneotype-environment correlation from family relationship influences on children's externalising problems,"£3 092,18"
Society for General Microbiology,Journal of General Virology,Vaccinia virus protein N2 is a nuclear IRF3 inhibitor that promotes virulence,"£1 575,00"
Society for General Microbiology,Journal of General Virology,Vaccinia virus protein C4 inhibits NF-kB activation and promotes virus virulence,"£1 750,00"
Society for General Microbiology,Journal of General Virology,Deletion of immunomodulator C6 from vaccine virus strain western reserve enhances virus immunogenicity and vaccine efficacy,"£2 100,00"
Society for General Microbiology,Journal of General Virology,An essential RNA element resides in a central region of hepatitis E virus ORF2,"£2 100,00"
Society for General Microbiology,Journal of General Virology,Protein B5 is required on extracellular enveloped vaccinia virus for repulsion of superinfecting virions,"£2 100,00"
Society for General Microbiology,Journal of General Virology,Mutations in hemagglutinin that affect receptor binding and pH stability increase replication of a PR8 influenza virus with H5 HA in the upper respiratory tract of ferrets and may contribute to transmissibility,"£2 100,00"
Society for General Microbiology,Journal of General Virology,"The C terminus of NS5A domain II is a key determinant of hepatitis C virus genome replication, but is not required for virion assembly and release","£2 100,00"
Society for General Microbiology,Journal of General Virology,G8 rotaviruses with conserved genotype constellations detected in Malawi over 10 years 1 (1997-2007) display frequent gene reassortment among strains co-circulating in humans,"£2 100,00"
Society for General Microbiology,Journal of General Virology,The small genome segment of Bunyamwera orthobunyavirus harbours a single transcription-termination signal,"£2 100,00"
Society for General Microbiology,Journal of General Virology,"Establishment of a reverse genetics system for Schmallenberg virus, a newly emerged orthobunyavirus in Europe","£2 100,00"
Society for Genermal Microbiology,Journal of General Virology,The natural history of early hepatitis C virus evolution; lessons from a global outbreak in human immunodeficiency virus-1-infected individuals,"£1 750,00"
Oxford Journals,Journal of Gerontology Series A: Medical Sciences,The association of dementia with upper arm and waist circumference in seven low and middle-income countries: the 10/66 cross-sectional surveys,"£2 040,00"
Elsevier,Journal of Hepatology,"Gamma H2AX+CD8+ T-lymphocytes cannot respond to Interferon-alpha, Il-2 or Il-6 in chronic hepatitis C virus infection","£2 328,24"
Elsevier,Journal of Hepatology,Pathogenesis of FOLFOX induced sinisoidal obstruction syndrome in murine chemotherapy model,"£2 366,57"
Sage,Journal of Histochemistry & Cytochemistry,Hyaluronan and hyaluronan-binding proteins are normal components of mouse pancreatic islets and are differentially expressed by islet endocrine cell types,"£1 893,34"
Elsevier,Journal of Historical Geography,The making of urban ‘healtheries’: Lord Brabazon and the transformation of cemeteries and burial grounds in late-Victorian East London,"£596,46"
Elsevier,Journal of Hospital Infections,"Evaluation of surveillance for surgical site infections in Thika Hospital, Kenya","£2 293,37"
American Association of Immunologists,Journal of Immunology,Sialoadhesin ligand expression identifies a subset of CD4+Foxp3- T cells with a distinct activation and glycosylation profile.,"£2 035,00"
American Association of Immunologists,Journal of Immunology,Regulation of Foxp3+ Inducible Regulatory T Cell Stability by SOCS2,"£3 108,08"
Dartmouth Journal Services,Journal of Immunology,Candida albicans primes the Toll-like receptor cytokine responses through a dectin-1/Ref-1-mediated pathway,"£1 932,69"
Elsevier,Journal of Infection,The prevalence of cryptococcal antigenemia in newly diagnosed HIV patients in a Southwest London cohort,"£2 286,09"
OUP,Journal of Infectious Diseases,The Phenotype of the Cryptococcus-specific CD4 Memory T-cell Response is Associated with Disease Severity and Outcome in HIV-associated Cryptococcal Meningitis,"£2 250,00"
OUP,Journal of Infectious Diseases,Viral suppression following switch to second-line antiretroviral therapy: associations with NRTI resistance and 'sub-therapeutic' drug concentrations prior to switch ,"£2 625,60"
OUP,Journal of Infectious Diseases,Cryptococcus neoformans ex vivo capsule size is associated with intracranial pressure and host immune response in HIV−associated cryptococcal meningitis,"£2 625,60"
Oxford Univ Press,Journal of Infectious Diseases,Therapeutic vaccination with recombinant adenovirus reduces splenic parasite burden in experimental visceral leishmaniasis,"£2 040,00"
Oxford University Press,Journal of Infectious Diseases,"


Persistent endothelial activation after Plasmodium falciparum infection in Malawian children.



","£2 841,60"
Oxford University Press,"Journal of Infectious Diseases

",T-cell immunophenotyping distinguishes active from latent tuberculosis,"£2 625,60"
"Oxford University Press
","Journal of Infectious Diseases

","The role of interleukinâˆ’10 family of cytokines in HIVâˆ’tuberculosis associated immune reconstitution inflammatory syndrome
","£2 040,00"
Springer,Journal of Inherited Metabolic,Structural basis of fumarate hydratase deficiency,"£2 127,68"
Wiley Subscription Services,Journal of Internal Medicine,Acute infection and venous thromboembolism,"£1 873,87"
Nature,Journal of Investigative Dermatology,Multiple Congenital Melanocytic Naevi and Neurocutaneous Melanosis are Caused by Post-Zygotic Mutations in Codon 61 of NRAS.,"£2 520,00"
Nature Publishing Group,Journal of Investigative Dermatology,Heterozygous mutations in AAGAB cause type 1 punctate palmoplantar keratoderma with evidence for increased growth factor signalling,"£2 520,00"
Nature Publishing Group,Journal of Investigative Dermatology,Keratin 9 is Required for the Structural Integrity and Terminal Differentiation of Palmoplantar Epidermis,"£2 520,00"
Nature Publishing Group,Journal of Investigative Dermatology,The IL23R A/Gln381 allele promotes IL-23 unresponsiveness in human memory T helper17 cells and impairs Th17 responses in psoriasis patients,"£2 520,00"
FASEB,Journal of Leukocyte Biology,Autofluoresence-based sorting: rapid and non-perturbing isolation of ultra-pure neutrophils to determine cytokine production,"£1 626,36"
Society for Leukocyte Biology,Journal of Leukocyte Biology,Kidney transplantation: analysis of the expression and T cell-mediated activation of latent TGF-B,"£1 956,00"
Society of Leukocyte Biology,Journal of Leukocyte Biology,The dectin-1/inflammasome pathway is responsible for the induction of protective T-helper 17 responses that discriminate between yeasts and hyphae of Candida albicans,"£1 598,38"
Elsevier,Journal of Mechanisms of Ageing and Development,Frequency distribution analysis of activation times and regional fibrosis in murine Scn5a+/- hearts: the effects of ageing and sex ,"£2 696,34"
BMJ,Journal of Medical Ethics,"Elective ventilation for organ donation: law, policy and public ethics","£2 040,00"
BMJ Group,Journal of Medical Ethics,Moral responsibility for (un)healthy behaviour,"£2 040,00"
BMJ,Journal of Medical Genetics,Combined exome and whole-genome sequencing identifies mutations in ARMC4 as a cause of primary ciliary dyskinesia with defects in the outer dynein arm,"£1 989,00"
BMJ,Journal of Medical Genetics,Can the diagnosis of NF1 be excluded clinically? A lack of Pigmentary findings in families with spinal neurofibromatosis demonstrates a limitation of clinical diagnosis,"£2 340,00"
John Wiley & Sons Ltd,Journal of Medical Virology,High level of HIV-2 false positivity in KwaZulu-Natal province: A region of South Africa with a very high HIV-1 subtype C prevalence,"£612,59"
Wiley Subscription Services  Inc.,Journal of Medical Virology ,The Kinetics of the Neutralizing antibody response to respiratory syncytial infections in a birth cohort ,"£1 834,77"
ACS,Journal of Medicinal Chemistry,Comparative Structural and Functional Studies of 4-(Thiazol-5-yl)-2-(phenylamino) pyrimidine-5-carbonitrile CDK9 inhibitors suggest the basis for Isotype Slectivity,"£2 392,20"
ACS (Amercian Chemical Society) Publications,Journal of Medicinal Chemistry,Synthesis and evaluation of α-thymidine analogues as novel antimalarials.,"£1 287,20"
ACS (Amercian Chemical Society) Publications,Journal of Medicinal Chemistry,Discovery and structure-activity relationships of pyrrolone antimalarials.,"£1 324,66"
ACS Publications,Journal of Medicinal Chemistry,Synthesis and in vitro and in vivo characterization of highly β1-selective β-adrenoceptor partial agonists.,"£1 006,72"
American Chemical Society,Journal of Medicinal Chemistry,Toward biophysical probes for the 5-HT3 receptor: structure-activity relationship study of granisetron derivatives,"£572,74"
American Chemical Society,Journal of Medicinal Chemistry,"Design, synthesis and structure-activity relationships of highly potent 5-HT3 receptor ligands","£750,66"
American Chemical Society,Journal of Medicinal Chemistry ,A class of 5-nitro-2-furancarboxylamides with potent trypanocidal activity against Trypanosoma brucei in vitro,"£321,12"
Society for General Microbiology,Journal of Microbiology,Disruption of the serine/threonine protein kinase H affects phthiocerol dimycocerosates synthesis in Mycobacterium tuberculosis,"£2 100,00"
Wiley-Blackwell,Journal of Microscopy,Regulation of contact inhibition of locomotion by Eph-ephrin signalling,"£2 400,00"
Elsevier,Journal of Molecular Biology,Selective Deactivation of Serum IgG: A General Strategy for the Enhancement of Monoclonal Antibody Receptor Interactions,"£2 192,89"
Elsevier,Journal of Molecular Biology,"Sequence-specific, RNA-protein interactions overcome electrostatic barriers preventing assembly of Satellite Tobacco Necrosis Virus coat protein","£2 372,01"
Elsevier,Journal of Molecular Biology,A “mechanistic” explanation of the multiple helical forms adopted by bacterial flagellar filaments,"£2 455,82"
Elsevier ,Journal of Molecular Biology,Structural basis of substrate binding in WsaF,"£2 459,32"
BioScientifica,Journal of Molecular Endocrinology,Stable conditional expression and effect of C/EBPβ-LIP in adipocytes using the pSLIK system,"£1 200,00"
BioScientifica,Journal of molecular Endocrinology,A SULT2A1 genetic variant identified by GWAS as associated with low serum,"£2 400,00"
Springer-Verlag GmbH,Journal of Molecular Medicine,Functional expression of Rab escort protein 1 following AAV2-mediated gene delivery in the retina of choroideremia mice and human cells ex vivo,"£2 262,59"
Springer,Journal of Molecular Neuroscience,Pramipexole Reduces Phosphorylation of Alpha-synuclein at Serine 129,"£1 896,98"
SPRINGER-VERLAG GMBH,Journal of Neural Transmission,Cellular Localization and Trafficking of Vascular Adhesion Protein-1 as Revealed by an N-terminal GFP Fusion Protein,"£2 289,17"
Wiley,Journal of Neurochemistry,A nicotinic acetylcholine receptor transmembrane point mutation...,"£1 860,57"
Wiley,Journal of Neurochemistry,Pituitary adenylate cyclase-activating peptide induces long-lasting neuroprotection through the induction of activity-dependent signaling via the cyclic AMP response element-binding protein-regulated transcription co-activator 1,"£2 184,22"
Wiley,Journal of Neurochemistry,SMRT-mediated co-shuttling enables export of class IIa HDACs independent of their CaM kinase phosphorylation sites,"£2 184,22"
Wiley Blackwell,JOURNAL OF NEUROCHEMISTRY,"Mass spectrometry analysis of human P2X1 receptors: insight into phosphorylation, modelling and conformational changes","£2 270,34"
Wiley,Journal of Neurochemistry ,"Quality control parameters on a large dataset of control, regionally dissected human brains for whole genome expression","£2 010,24"
Wiley,Journal of Neuroendocrinology,Changes in the brain accumulation of glucocorticoids in abcb1a-deficient CF-1 mice.,"£2 302,93"
Biomed Central,Journal of Neuroinflammation,TLR-4 ligation of dendritic cells is sufficient to drive pathogenic T cell function in experimental autoimmune encephalomyelitis,"£1 295,40"
Springer,Journal of Neurology,Exome sequencing expands the mutational spectrum of SPG8 in a family with spasticity responsive to L-DOPA treatment,"£1 851,29"
Springer,Journal of Neurology,How often does music and rhythm improve patients' perception of motor symptoms in Parkinson's disease,"£1 902,46"
Springer,Journal of Neurology,Discrete gait characterisitcs are associated with m.3243A>G and m.8344A>G variants of mitochondrial disease and its pathological consequences,"£2 209,76"
Springer,Journal of Neurology,Copper deficiency myeopathy,"£2 387,49"
JSciMed Central,Journal of Neurology & Translational Neuroscience,Parkinson's Disease: The Catabolic Theory,"£159,91"
BMJ,"Journal of Neurology, Neurosurgery & Psychiatry",A clinical and family history study of Parkinson's disease in heterozygous glucocerebrosidase mutation carriers,"£2 040,00"
BMJ,"Journal of Neurology, Neurosurgery & Psychiatry ",The Val158Met COMT polymorphism is a modifier of the age at onset in Parkinson's disease with a sexual dimorphism,"£2 040,00"
BMJ,"Journal of Neurology, Neurosurgery and Psychiatry",Olfactory impairment in posterior cortical atrophy,"£2 040,00"
BMJ Publishing Group,"Journal of Neurology, Neurosurgery and Psychiatry",The long-term safety and efficacy of bilateral transplantation of human fetal striatal tissue in patients with mild to moderate Huntingdon’s disease,"£2 040,00"
BMJ Publishing Group,"Journal of Neurology, Neurosurgery and Psychiatry",The Addenbrooke's cognitive examination for the differential diagnosis and longitudinal assessment of patients with Parkinsonian disorders,"£2 040,00"
British Medical Journal,"Journal of Neurology, Neurosurgery and Psychiatry",Flavour identification in frontotemporal lobar degeneration,"£2 040,00"
American Physiological Society,Journal of Neurophysiology,Reliable evaluation of the quantal determinants of synaptic efficacy using Bayesian analysis,"£1 276,08"
American Physiological Society,Journal of Neurophysiology,"Responses of single corticospinal neurons to intracortical stimulation of primary motor and premotor cortex in the anesthetized macaque monkey"" (JN-01080-2012R1)","£1 291,02"
American Physiological Society,Journal of Neurophysiology,Interaction of temporal and ordinal representations in movement sequences,"£1 319,17"
American Physiological Society,Journal of Neurophysiology,Endogenous modulation of low frequency oscillations by temporal expectations,"£1 514,35"
American Physiological Society,Journal of Neurophysiology,The effect of contextual cues on the encoding of motor memories,"£1 551,61"
Camdus Journal Services,Journal of Neurophysiology,Intra and interhemispheric connectivity between face-selective regions in the human brain,"£1 565,06"
Cadmus,Journal of Neuroscience,Triple cysteine module within M-type K+ channels mediates reciprocal channel modulation by nitric oxide and reactive oxygen species,"£1 283,00"
Society for Neuroscience,Journal of Neuroscience,Effect of limb lengthening on internodal length and conduction velocity of peripheral nerve,"£885,52"
Society for Neuroscience,Journal of Neuroscience,GABA(B) receptors regulate extrasynaptic GABA(A) receptors,"£1 730,99"
Society for Neuroscience,Journal of Neuroscience,Otoferlin couples to clathrin-mediated endocytosis in mature cochlear inner hair cells,"£1 761,28"
Society for Neuroscience,Journal of Neuroscience,Serotonin modulates striatal responses to fairness and retaliation in humans,"£1 915,92"
Society for Neuroscience,Journal of Neuroscience,alpha2delta-1 gene deletion affects somatosensory neuron function and delays mechanical hypersensitivity in response to peripheral nerve damage,"£2 029,47"
Society for Neuroscience,Journal of Neuroscience,The temporal evolution of feedback gains rapidly update to task demands,"£2 069,75"
Society for Neuroscience,Journal of Neuroscience,Spinal Commissural Connections to Motorneurons controlling the primate hand and wrist,"£2 077,27"
